lacI_lacZ,lacY_lacA,lacY_lacZ,lacZ_lacY,length,max_distance,mean_distance,y
0.0,0.0,0.0,0.0,6704.0,97.0,35.5,0.0
0.0,0.0,0.0,0.0,3861.0,50.0,14.4,0.0
0.0,0.0,0.0,0.0,3054.0,127.0,64.5,0.0
0.0,0.0,0.0,0.0,4861.0,11.0,2.6,0.0
0.0,0.0,0.0,0.0,880.0,9.0,9.0,0.0
0.0,0.0,0.0,0.0,8657.0,6.0,-8.0,0.0
0.0,0.0,0.0,0.0,1339.0,18.0,18.0,0.0
0.0,0.0,0.0,0.0,4347.0,54.0,12.6,0.0
0.0,0.0,0.0,0.0,5123.0,36.0,16.5,0.0
0.0,0.0,0.0,0.0,1091.0,31.0,31.0,0.0
0.0,0.0,0.0,0.0,2893.0,31.0,14.666666666666666,0.0
0.0,0.0,0.0,0.0,1669.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,3591.0,97.0,38.333333333333336,0.0
0.0,0.0,0.0,0.0,3103.0,7.0,2.0,0.0
0.0,0.0,0.0,0.0,2885.0,27.0,13.0,0.0
0.0,0.0,0.0,0.0,916.0,30.0,30.0,0.0
0.0,0.0,0.0,0.0,9317.0,65.0,15.7,0.0
0.0,0.0,0.0,0.0,1528.0,29.0,24.5,0.0
0.0,0.0,0.0,0.0,2446.0,58.0,41.0,0.0
0.0,0.0,0.0,0.0,7107.0,79.0,38.625,0.0
0.0,0.0,0.0,0.0,1331.0,64.0,64.0,0.0
